Nº Aquisição Horário     Data        Canal 1 [°C] 
00189        10:08:01 AM 5/19/2015   27.7         
00190        10:09:01 AM 5/19/2015   27.8         
00191        10:10:01 AM 5/19/2015   27.9         
00192        10:11:01 AM 5/19/2015   27.9         
00193        10:12:01 AM 5/19/2015   27.9         
00194        10:13:01 AM 5/19/2015   27.9         
00195        10:14:01 AM 5/19/2015   27.9         
00196        10:15:01 AM 5/19/2015   27.9         
00197        10:16:01 AM 5/19/2015   28.0         
00198        10:17:01 AM 5/19/2015   28.0         
00199        10:18:01 AM 5/19/2015   28.0         
00200        10:19:01 AM 5/19/2015   28.0         
00201        10:20:01 AM 5/19/2015   28.0         
00202        10:21:01 AM 5/19/2015   28.1         
00203        10:22:01 AM 5/19/2015   28.1         
00204        10:23:01 AM 5/19/2015   28.1         
00205        10:24:01 AM 5/19/2015   28.2         
00206        10:25:01 AM 5/19/2015   28.2         
00207        10:26:01 AM 5/19/2015   28.2         
00208        10:27:01 AM 5/19/2015   28.2         
00209        10:28:01 AM 5/19/2015   28.3         
00210        10:29:01 AM 5/19/2015   28.3         
00211        10:30:01 AM 5/19/2015   28.3         
00212        10:31:01 AM 5/19/2015   28.3         
00213        10:32:01 AM 5/19/2015   28.3         
00214        10:33:01 AM 5/19/2015   28.3         
00215        10:34:01 AM 5/19/2015   28.3         
00216        10:35:01 AM 5/19/2015   28.3         
00217        10:36:01 AM 5/19/2015   28.3         
00218        10:37:01 AM 5/19/2015   28.4         
00219        10:38:01 AM 5/19/2015   28.4         
00220        10:39:01 AM 5/19/2015   28.4         
00221        10:40:01 AM 5/19/2015   28.4         
00222        10:41:01 AM 5/19/2015   28.4         
00223        10:42:01 AM 5/19/2015   28.4         
00224        10:43:01 AM 5/19/2015   28.4         
00225        10:44:01 AM 5/19/2015   28.4         
00226        10:45:01 AM 5/19/2015   28.4         
00227        10:46:01 AM 5/19/2015   28.4         
00228        10:47:01 AM 5/19/2015   28.4         
00229        10:48:01 AM 5/19/2015   28.4         
00230        10:49:01 AM 5/19/2015   28.4         
00231        10:50:01 AM 5/19/2015   28.4         
00232        10:51:01 AM 5/19/2015   28.4         
00233        10:52:01 AM 5/19/2015   28.4         
00234        10:53:01 AM 5/19/2015   28.4         
00235        10:54:01 AM 5/19/2015   28.4         
00236        10:55:01 AM 5/19/2015   28.4         
00237        10:56:01 AM 5/19/2015   28.4         
00238        10:57:01 AM 5/19/2015   28.4         
00239        10:58:01 AM 5/19/2015   28.4         
00240        10:59:01 AM 5/19/2015   28.4         
00241        11:00:01 AM 5/19/2015   28.4         
00242        11:01:01 AM 5/19/2015   28.4         
00243        11:02:01 AM 5/19/2015   28.4         
00244        11:03:01 AM 5/19/2015   28.3         
00245        11:04:01 AM 5/19/2015   28.3         
00246        11:05:01 AM 5/19/2015   28.3         
00247        11:06:01 AM 5/19/2015   28.3         
00248        11:07:01 AM 5/19/2015   28.3         
00249        11:08:01 AM 5/19/2015   28.3         
00250        11:09:01 AM 5/19/2015   28.4         
00251        11:10:01 AM 5/19/2015   28.4         
00252        11:11:01 AM 5/19/2015   28.4         
00253        11:12:01 AM 5/19/2015   28.4         
00254        11:13:01 AM 5/19/2015   28.4         
00255        11:14:01 AM 5/19/2015   28.4         
00256        11:15:01 AM 5/19/2015   28.4         
00257        11:16:01 AM 5/19/2015   28.4         
00258        11:17:01 AM 5/19/2015   28.4         
00259        11:18:01 AM 5/19/2015   28.4         
00260        11:19:01 AM 5/19/2015   28.4         
00261        11:20:01 AM 5/19/2015   28.4         
00262        11:21:01 AM 5/19/2015   28.5         
00263        11:22:01 AM 5/19/2015   28.5         
00264        11:23:01 AM 5/19/2015   28.5         
00265        11:24:01 AM 5/19/2015   28.6         
00266        11:25:01 AM 5/19/2015   28.7         
00267        11:26:01 AM 5/19/2015   28.7         
00268        11:27:01 AM 5/19/2015   28.8         
00269        11:28:01 AM 5/19/2015   28.8         
00270        11:29:01 AM 5/19/2015   28.9         
00271        11:30:01 AM 5/19/2015   28.9         
00272        11:31:01 AM 5/19/2015   28.9         
00273        11:32:01 AM 5/19/2015   28.9         
00274        11:33:01 AM 5/19/2015   28.9         
00275        11:34:01 AM 5/19/2015   28.9         
00276        11:35:01 AM 5/19/2015   28.9         
00277        11:36:01 AM 5/19/2015   28.9         
00278        11:37:01 AM 5/19/2015   28.9         
00279        11:38:01 AM 5/19/2015   28.8         
00280        11:39:01 AM 5/19/2015   28.8         
00281        11:40:01 AM 5/19/2015   28.8         
00282        11:41:01 AM 5/19/2015   28.8         
00283        11:42:01 AM 5/19/2015   28.8         
00284        11:43:01 AM 5/19/2015   28.8         
00285        11:44:01 AM 5/19/2015   28.8         
00286        11:45:01 AM 5/19/2015   28.8         
00287        11:46:01 AM 5/19/2015   28.8         
00288        11:47:01 AM 5/19/2015   28.8         
00289        11:48:01 AM 5/19/2015   28.7         
00290        11:49:01 AM 5/19/2015   28.7         
00291        11:50:01 AM 5/19/2015   28.7         
00292        11:51:01 AM 5/19/2015   28.7         
00293        11:52:01 AM 5/19/2015   28.7         
00294        11:53:01 AM 5/19/2015   28.7         
00295        11:54:01 AM 5/19/2015   28.7         
00296        11:55:01 AM 5/19/2015   28.7         
00297        11:56:01 AM 5/19/2015   28.7         
00298        11:57:01 AM 5/19/2015   28.7         
00299        11:58:01 AM 5/19/2015   28.7         
00300        11:59:01 AM 5/19/2015   28.6         
00301        12:00:01 PM 5/19/2015   28.6         
00302        12:01:01 PM 5/19/2015   28.6         
00303        12:02:01 PM 5/19/2015   28.6         
00304        12:03:01 PM 5/19/2015   28.6         
00305        12:04:01 PM 5/19/2015   28.6         
00306        12:05:01 PM 5/19/2015   28.6         
00307        12:06:01 PM 5/19/2015   28.6         
00308        12:07:01 PM 5/19/2015   28.6         
00309        12:08:01 PM 5/19/2015   28.6         
00310        12:09:01 PM 5/19/2015   28.6         
00311        12:10:01 PM 5/19/2015   28.6         
00312        12:11:01 PM 5/19/2015   28.6         
00313        12:12:01 PM 5/19/2015   28.6         
00314        12:13:01 PM 5/19/2015   28.7         
00315        12:14:01 PM 5/19/2015   28.7         
00316        12:15:01 PM 5/19/2015   28.7         
00317        12:16:01 PM 5/19/2015   28.7         
00318        12:17:01 PM 5/19/2015   28.7         
00319        12:18:01 PM 5/19/2015   28.8         
00320        12:19:01 PM 5/19/2015   28.8         
00321        12:20:01 PM 5/19/2015   28.9         
00322        12:21:01 PM 5/19/2015   28.9         
00323        12:22:01 PM 5/19/2015   29.0         
00324        12:23:01 PM 5/19/2015   29.1         
00325        12:24:01 PM 5/19/2015   29.1         
00326        12:25:01 PM 5/19/2015   29.2         
00327        12:26:01 PM 5/19/2015   29.3         
00328        12:27:01 PM 5/19/2015   29.4         
00329        12:28:01 PM 5/19/2015   29.5         
00330        12:29:01 PM 5/19/2015   29.6         
00331        12:30:01 PM 5/19/2015   29.7         
00332        12:31:01 PM 5/19/2015   29.8         
00333        12:32:01 PM 5/19/2015   29.9         
00334        12:33:01 PM 5/19/2015   29.9         
00335        12:34:01 PM 5/19/2015   30.0         
00336        12:35:01 PM 5/19/2015   30.1         
00337        12:36:01 PM 5/19/2015   30.1         
00338        12:37:01 PM 5/19/2015   30.2         
00339        12:38:01 PM 5/19/2015   30.2         
00340        12:39:01 PM 5/19/2015   30.3         
00341        12:40:01 PM 5/19/2015   30.3         
00342        12:41:01 PM 5/19/2015   30.3         
00343        12:42:01 PM 5/19/2015   30.4         
00344        12:43:01 PM 5/19/2015   30.5         
00345        12:44:01 PM 5/19/2015   30.7         
00346        12:45:01 PM 5/19/2015   30.9         
00347        12:46:01 PM 5/19/2015   31.2         
00348        12:47:01 PM 5/19/2015   31.6         
00349        12:48:01 PM 5/19/2015   31.9         
00350        12:49:01 PM 5/19/2015   32.2         
00351        12:50:01 PM 5/19/2015   32.5         
00352        12:51:01 PM 5/19/2015   32.7         
00353        12:52:01 PM 5/19/2015   32.8         
00354        12:53:01 PM 5/19/2015   32.9         
00355        12:54:01 PM 5/19/2015   32.9         
00356        12:55:01 PM 5/19/2015   33.0         
00357        12:56:01 PM 5/19/2015   33.0         
00358        12:57:01 PM 5/19/2015   32.9         
00359        12:58:01 PM 5/19/2015   32.9         
00360        12:59:01 PM 5/19/2015   32.9         
00361        1:00:01 PM  5/19/2015   32.9         
00362        1:01:01 PM  5/19/2015   32.8         
00363        1:02:01 PM  5/19/2015   32.8         
00364        1:03:01 PM  5/19/2015   32.8         
00365        1:04:01 PM  5/19/2015   32.7         
00366        1:05:01 PM  5/19/2015   32.7         
00367        1:06:01 PM  5/19/2015   32.7         
00368        1:07:01 PM  5/19/2015   32.7         
00369        1:08:01 PM  5/19/2015   32.6         
00370        1:09:01 PM  5/19/2015   32.6         
00371        1:10:01 PM  5/19/2015   32.6         
00372        1:11:01 PM  5/19/2015   32.6         
00373        1:12:01 PM  5/19/2015   32.6         
00374        1:13:01 PM  5/19/2015   32.5         
00375        1:14:01 PM  5/19/2015   32.5         
00376        1:15:01 PM  5/19/2015   32.5         
00377        1:16:01 PM  5/19/2015   32.5         
00378        1:17:01 PM  5/19/2015   32.4         
00379        1:18:01 PM  5/19/2015   32.4         
00380        1:19:01 PM  5/19/2015   32.4         
00381        1:20:01 PM  5/19/2015   32.4         
00382        1:21:01 PM  5/19/2015   32.3         
00383        1:22:01 PM  5/19/2015   32.3         
00384        1:23:01 PM  5/19/2015   32.3         
00385        1:24:01 PM  5/19/2015   32.3         
00386        1:25:01 PM  5/19/2015   32.3         
00387        1:26:01 PM  5/19/2015   32.3         
00388        1:27:01 PM  5/19/2015   32.3         
00389        1:28:01 PM  5/19/2015   32.3         
00390        1:29:01 PM  5/19/2015   32.3         
00391        1:30:01 PM  5/19/2015   32.3         
00392        1:31:01 PM  5/19/2015   32.3         
00393        1:32:01 PM  5/19/2015   32.3         
00394        1:33:01 PM  5/19/2015   32.3         
00395        1:34:01 PM  5/19/2015   32.4         
00396        1:35:01 PM  5/19/2015   32.4         
00397        1:36:01 PM  5/19/2015   32.5         
00398        1:37:01 PM  5/19/2015   32.6         
00399        1:38:01 PM  5/19/2015   32.7         
00400        1:39:01 PM  5/19/2015   32.7         
00401        1:40:01 PM  5/19/2015   32.8         
00402        1:41:01 PM  5/19/2015   32.8         
00403        1:42:01 PM  5/19/2015   32.8         
00404        1:43:01 PM  5/19/2015   32.9         
00405        1:44:01 PM  5/19/2015   32.9         
00406        1:45:01 PM  5/19/2015   33.0         
00407        1:46:01 PM  5/19/2015   33.0         
00408        1:47:01 PM  5/19/2015   33.1         
00409        1:48:01 PM  5/19/2015   33.2         
00410        1:49:01 PM  5/19/2015   33.3         
00411        1:50:01 PM  5/19/2015   33.3         
00412        1:51:01 PM  5/19/2015   33.4         
00413        1:52:01 PM  5/19/2015   33.4         
00414        1:53:01 PM  5/19/2015   33.4         
00415        1:54:01 PM  5/19/2015   33.4         
00416        1:55:01 PM  5/19/2015   33.5         
00417        1:56:01 PM  5/19/2015   33.5         
00418        1:57:01 PM  5/19/2015   33.5         
00419        1:58:01 PM  5/19/2015   33.5         
00420        1:59:01 PM  5/19/2015   33.5         
00421        2:00:01 PM  5/19/2015   33.5         
00422        2:01:01 PM  5/19/2015   33.5         
00423        2:02:01 PM  5/19/2015   33.5         
00424        2:03:01 PM  5/19/2015   33.4         
00425        2:04:01 PM  5/19/2015   33.4         
00426        2:05:01 PM  5/19/2015   33.4         
00427        2:06:01 PM  5/19/2015   33.4         
00428        2:07:01 PM  5/19/2015   33.4         
00429        2:08:01 PM  5/19/2015   33.4         
00430        2:09:01 PM  5/19/2015   33.4         
00431        2:10:01 PM  5/19/2015   33.4         
00432        2:11:01 PM  5/19/2015   33.4         
00433        2:12:01 PM  5/19/2015   33.4         
00434        2:13:01 PM  5/19/2015   33.4         
00435        2:14:01 PM  5/19/2015   33.4         
00436        2:15:01 PM  5/19/2015   33.4         
00437        2:16:01 PM  5/19/2015   33.4         
00438        2:17:01 PM  5/19/2015   33.3         
00439        2:18:01 PM  5/19/2015   33.3         
00440        2:19:01 PM  5/19/2015   33.3         
00441        2:20:01 PM  5/19/2015   33.3         
00442        2:21:01 PM  5/19/2015   33.3         
00443        2:22:01 PM  5/19/2015   33.3         
00444        2:23:01 PM  5/19/2015   33.3         
00445        2:24:01 PM  5/19/2015   33.3         
00446        2:25:01 PM  5/19/2015   33.2         
00447        2:26:01 PM  5/19/2015   33.2         
00448        2:27:01 PM  5/19/2015   33.2         
00449        2:28:01 PM  5/19/2015   33.2         
00450        2:29:01 PM  5/19/2015   33.2         
00451        2:30:01 PM  5/19/2015   33.2         
00452        2:31:01 PM  5/19/2015   33.1         
00453        2:32:01 PM  5/19/2015   33.1         
00454        2:33:01 PM  5/19/2015   33.1         
00455        2:34:01 PM  5/19/2015   33.1         
00456        2:35:01 PM  5/19/2015   33.1         
00457        2:36:01 PM  5/19/2015   33.0         
00458        2:37:01 PM  5/19/2015   33.0         
00459        2:38:01 PM  5/19/2015   33.0         
00460        2:39:01 PM  5/19/2015   33.0         
00461        2:40:01 PM  5/19/2015   33.0         
00462        2:41:01 PM  5/19/2015   32.9         
00463        2:42:01 PM  5/19/2015   32.9         
00464        2:43:01 PM  5/19/2015   32.9         
00465        2:44:01 PM  5/19/2015   32.9         
00466        2:45:01 PM  5/19/2015   32.9         
00467        2:46:01 PM  5/19/2015   32.8         
00468        2:47:01 PM  5/19/2015   32.8         
00469        2:48:01 PM  5/19/2015   32.8         
00470        2:49:01 PM  5/19/2015   32.8         
00471        2:50:01 PM  5/19/2015   32.8         
00472        2:51:01 PM  5/19/2015   32.8         
00473        2:52:01 PM  5/19/2015   32.7         
00474        2:53:01 PM  5/19/2015   32.7         
00475        2:54:01 PM  5/19/2015   32.7         
00476        2:55:01 PM  5/19/2015   32.7         
00477        2:56:01 PM  5/19/2015   32.7         
00478        2:57:01 PM  5/19/2015   32.7         
00479        2:58:01 PM  5/19/2015   32.6         
00480        2:59:01 PM  5/19/2015   32.6         
00481        3:00:01 PM  5/19/2015   32.6         
00482        3:01:01 PM  5/19/2015   32.6         
00483        3:02:01 PM  5/19/2015   32.6         
00484        3:03:01 PM  5/19/2015   32.6         
00485        3:04:01 PM  5/19/2015   32.6         
00486        3:05:01 PM  5/19/2015   32.6         
00487        3:06:01 PM  5/19/2015   32.5         
00488        3:07:01 PM  5/19/2015   32.5         
00489        3:08:01 PM  5/19/2015   32.5         
00490        3:09:01 PM  5/19/2015   32.5         
00491        3:10:01 PM  5/19/2015   32.5         
